genre,category,title,year,distribution,description,url,cover_photo
Action,Hollywood,Black Adam,2022,BluRay,"Nearly 5,000 years after he was bestowed with the almighty powers of the Egyptian gods-and imprisoned just as quickly-Black Adam is freed from his earthly tomb, ready to unleash his unique form of justice on the modern world.Tags : based on comic | based on comic book | dc comics...<more>",https://fzmovies.net/movie-Black%20Adam--hmp4.htm,https://fzmovies.net/imdb_images/Black.Adam.2022.jpg
Adventure,Hollywood,Jurassic World Dominion,2022,BluRay,"Four years after the destruction of Isla Nublar, dinosaurs now live--and hunt--alongside humans all over the world. This fragile balance will reshape the future and determine, once and for all, whether human beings are to remain t...Tags : dinosaur | sequel | shared universe...<more>",https://fzmovies.net/movie-Jurassic%20World%20Dominion--hmp4.htm,https://fzmovies.net/imdb_images/Jurassic.World.Dominion.2022.jpg
Biography,Hollywood,Get on Up,2014,BluRay,A chronicle of James Brown's rise from extreme poverty to become one of the most influential musicians in history.,https://fzmovies.net/movie-Get%20on%20Up--hmp4.htm,https://fzmovies.net/imdb_images/Get.On.Up.2014.jpg
Biography,Hollywood,The Birth of a Nation,2016,BluRay,"Nat Turner, a literate slave and preacher in the antebellum South, orchestrates an uprising.",https://fzmovies.net/movie-The%20Birth%20of%20a%20Nation--hmp4.htm,https://fzmovies.net/imdb_images/The_Birth_of_a_Nation_(2016).jpg
Comedy,Hollywood,The Lion King,1994,BluRay,"A lion prince, Simba, is born in Africa and the animals of the Pride Lands pay tribute. Later Simba is told by his father, King Mufasa, that when Mufasa dies, Simba will become King of the Pride Lands. Simba's Uncle Scar would have been king after Musafa had Mufasa not had a child. Fuelled by rage, Scar plots to kill Mufasa and Simba so he is able to take over the throne. He uses the hyenas to cause a stampede through the canyon where Mufasa and Simba are, and personally ensures Mufasa falls to his death. Simba survives so Scar implies that the stampede was Simba's fault and that the pride will blame him. Simba flees the Pride Lands meaning never to return home. Simba is found, collapsed with exhaustion, by Timone the Meerkat, and Pummba the Warthog, and the trio become fast friends. Simba stays with them well into adulthood until his childhood friend, Nala, hunting beyond the Pride Lands that herds had deserted under Scar's mismanagement stumbles upon Simba's new home. Astonished to find him alive, she begs him to return to the Pride Lands, where Scar has reigned as King for years, and ruined everything. All of the animals will starve if Simba does not return. Simba eventually agrees to fight for his kingdom. Simba battles Scar, and learns his father's death was Scar's fault, not his own. Simba prevails and, in time, has his own son, mirroring ""The Circle of Life."" ...<more>",https://fzmovies.net/movie-The%20Lion%20King--hmp4.htm,https://fzmovies.net/imdb_images/The%20Lion%20King.jpg
Adventure,Hollywood,The Lord of the Rings 3 - The Two Towers,2002,BluRay,"Sauron's forces increase. His allies grow. The Ringwraiths return in an even more frightening form. Saruman's army of Uruk Hai is ready to launch an assault against Aragorn and the people of Rohan. Yet, the Fellowship is broken and Boromir is dead. For the little hope that is left, Frodo and Sam march on into Mordor, unprotected. A number of new allies join with Aragorn, Gimli, Legolas, Pippin and Merry. And they must defend Rohan and attack Isengard. Yet, while all this is going on, Sauron's troops mass toward the City of Gondor, for the War of the Ring is about to begin. ...<more>",https://fzmovies.net/movie-The%20Lord%20of%20the%20Rings%203%20-%20The%20Two%20Towers--hmp4.htm,https://fzmovies.net/imdb_images/The%20Lord%20of%20the%20Rings%20%20The%20Two%20Towers.jpg
Biography,Hollywood,The Fighter 2010,2010,BluRay,"A look at the early years of boxer ""Irish"" Micky Ward and his brother who helped train him before going pro in the mid 1980s.",https://fzmovies.net/movie-The%20Fighter%202010--hmp4.htm,https://fzmovies.net/imdb_images/The.Fighter.2010.jpg
Comedy,Hollywood,Dungeons and Dragons Honor Among Thieves,2023,BluRay,"A charming thief and a band of unlikely adventurers embark on an epic quest to retrieve a lost relic, but things go dangerously awry when they run afoul of the wrong people.Tags : magic | dragon...<more>",https://fzmovies.net/movie-Dungeons%20and%20Dragons%20Honor%20Among%20Thieves--hmp4.htm,https://fzmovies.net/imdb_images/Dungeons.and.Dragons.Honor.Among.Thieves.2023.jpg
Crime,Hollywood,Trap 2024,2024,BluRay,A father and his teen daughter attend a pop concert only to realize they've entered the center of a dark and sinister event.Tags : one word title...<more>,https://fzmovies.net/movie-Trap%202024--hmp4.htm,https://fzmovies.net/imdb_images/Trap.2024.jpg
Action,Hollywood,Spider Man No Way Home,2021,BluRay,"With Spider-Man's identity now revealed, Peter asks Doctor Strange for help. When a spell goes wrong, dangerous foes from other worlds start to appear, forcing Peter to discover what it truly means to be Spider-Man.Tags : superhero | based on comic | marvel comics...<more>",https://fzmovies.net/movie-Spider%20Man%20No%20Way%20Home--hmp4.htm,https://fzmovies.net/imdb_images/Spider.Man.No.Way.Home.2021.jpg
Biography,Hollywood,The Hammer 2023,2023,WEBRip,"Kim Wheeler, an attorney who is appointed as a judge for Nevada's 5th district after the former judge's death. As the investigation into the death intensifies, Kim's sister, who runs the local brothel, becomes the prime suspect....<more>",https://fzmovies.net/movie-The%20Hammer%202023--hmp4.htm,https://fzmovies.net/imdb_images/The.Hammer.2023.jpg
Comedy,Hollywood,The Hitmans Bodyguard 2017,2017,BluRay,"The world's top bodyguard gets a new client, a hit man who must testify at the International Court of Justice. They must put their differences aside and work together to make it to the trial on time....<more>",https://fzmovies.net/movie-The%20Hitmans%20Bodyguard%202017--hmp4.htm,https://fzmovies.net/imdb_images/The.Hitmans.Bodyguard.2017.jpg
Crime,Hollywood,Sabotage,2014,BluRay,Members of an elite DEA task force find themselves being taken down one by one after they rob a drug cartel safe house.,https://fzmovies.net/movie-Sabotage--hmp4.htm,https://fzmovies.net/imdb_images/Sabotage.2014.jpg
Horror,Hollywood,Dont Breathe,2016,BluRay,"Hoping to walk away with a massive fortune, a trio of thieves break into the house of a blind man who isn't as helpless as he seems.",https://fzmovies.net/movie-Dont%20Breathe--hmp4.htm,https://fzmovies.net/imdb_images/Dont.Breathe.2016.jpg
Comedy,Hollywood,TANGLED,2010,BluRay,"The magically long-haired Rapunzel has spent her entire life in a tower, but now that a runaway thief has stumbled upon her, she is about to discover the world for the first time, and who she really is....<more>",https://fzmovies.net/movie-TANGLED--hmp4.htm,https://fzmovies.net/imdb_images/TANGLED.jpg
Comedy,Hollywood,Rush Hour 2,2001,BluRay,"Carter and Lee head to Hong Kong for vacation, but become embroiled in a counterfeit money scam.",https://fzmovies.net/movie-Rush%20Hour%202--hmp4.htm,https://fzmovies.net/imdb_images/Rush.Hour.2.2001.jpg
Romance,Hollywood,Long Shot,2019,BluRay,"Fred Flarsky (Seth Rogen) is a gifted and free-spirited journalist with an affinity for trouble. Charlotte Field (Charlize Theron) is one of the most influential women in the world. Smart, sophisticated, and accomplished, she's a powerhouse diplomat with a talent for...well, mostly everything. The…Tags : journalist...<more>",https://fzmovies.net/movie-Long%20Shot--hmp4.htm,https://fzmovies.net/imdb_images/Long.Shot.2019.jpg
Action,Hollywood,6 Ways To Die,2015,BRRip,"Sonny ""Sundown"" Garcia is the top North American narcotics distributor for the Colombian cartels. He has created the most efficient and productive distribution pipeline since the era of the......<more>",https://fzmovies.net/movie-6%20Ways%20To%20Die--hmp4.htm,https://fzmovies.net/imdb_images/6.Ways.To.Die.2015.jpg
Crime,Hollywood,Belly,1998,BluRay,A pair of vicious black gangsters have spiritual awakenings.,https://fzmovies.net/movie-Belly--hmp4.htm,https://fzmovies.net/imdb_images/Belly.1998.jpg
Family,Hollywood,Fantastic Beasts The Secrets of Dumbledore,2022,BluRay,Albus Dumbledore assigns Newt and his allies with a mission related to the rising power of Grindelwald.Tags : third part | sequel | wizard | shared universe...<more>,https://fzmovies.net/movie-Fantastic%20Beasts%20The%20Secrets%20of%20Dumbledore--hmp4.htm,https://fzmovies.net/imdb_images/Fantastic.Beasts.The.Secrets.of.Dumbledore.2022.jpg
Crime,Hollywood,District B13,2004,BluRay,"In the near future, the worst ghettos of Paris, France are literally walled off and among the worst is District B13. Controlled by the ruthless crime lord, Taha, a young righteous punk named Leïto is determined to bring him down. When the boss retaliates by kidnapping his sister, Lola, a rescue…Tags : france | bomb...<more>",https://fzmovies.net/movie-District%20B13--hmp4.htm,https://fzmovies.net/imdb_images/District.B13.2004.jpg
